ENTITY ID | FRIENDLY NAME
switch.desktop_g3e9gmi_internet_access_2 | DESKTOP-G3E9GMI Internet Access
switch.raspberrypi_internet_access | reidhomeassistant Internet Access
switch.homeassistant_internet_access | reidhomeassistant Internet Access
sensor.fritz_box_6690_cable_upload_durchsatz | Upload-Durchsatz
sensor.fritz_box_6690_cable_download_durchsatz | Download-Durchsatz
sensor.fritz_box_6690_cable_maximaler_upload_durchsatz_der_verbindung | Maximaler Upload-Durchsatz der Verbindung
sensor.fritz_box_6690_cable_maximaler_download_durchsatz_der_verbindung | Maximaler Download-Durchsatz der Verbindung
sensor.fritz_box_6690_cable_gb_gesendet | GB gesendet
sensor.fritz_box_6690_cable_gb_empfangen | GB empfangen
sensor.fritz_box_6690_cable_link_upload_durchsatz | Link-Upload-Durchsatz
sensor.fritz_box_6690_cable_link_download_durchsatz | Link-Download-Durchsatz
binary_sensor.fritz_box_6690_cable_wan_status_2 | WAN-Status
sensor.fritz_box_6690_cable_empfangene_daten_2 | Empfangene Daten
sensor.fritz_box_6690_cable_gesendete_daten_2 | Gesendete Daten
sensor.fritz_box_6690_cable_empfangene_pakete_2 | Empfangene Pakete
sensor.fritz_box_6690_cable_gesendete_pakete_2 | Gesendete Pakete
sensor.fritz_box_6690_cable_betriebszeit_2 | Betriebszeit
sensor.fritz_box_6690_cable_wan_status_2 | WAN-Status
sensor.fritz_box_6690_cable_download_geschwindigkeit_2 | Download-Geschwindigkeit
sensor.fritz_box_6690_cable_upload_geschwindigkeit_2 | Upload-Geschwindigkeit
sensor.fritz_box_6690_cable_paket_download_geschwindigkeit_2 | Paket-Download-Geschwindigkeit
sensor.fritz_box_6690_cable_paket_upload_geschwindigkeit_2 | Paket-Upload-Geschwindigkeit
binary_sensor.kuche_birne_1_cloud_verbindung | Cloud-Verbindung
binary_sensor.kuche_birne_1_uberhitzt | Überhitzt
button.kuche_birne_1_neu_starten | Neu starten
light.kuche_birne_1 | Unknown
number.kuche_birne_1_sanft_einschalten | Sanft einschalten
number.kuche_birne_1_fliessend_abschalten | Fließend abschalten
select.kuche_birne_1_lichtvoreinstellung | Lichtvoreinstellung
sensor.kuche_birne_1_signalpegel | Signalpegel
sensor.kuche_birne_1_signalstarke | Signalstärke
sensor.kuche_birne_1_ssid | SSID
sensor.kuche_birne_1_gerateuhrzeit | Geräteuhrzeit
switch.kuche_birne_1_automatisches_update_aktiviert | Automatisches Update aktiviert
binary_sensor.kuche_birne_2_cloud_verbindung | Cloud-Verbindung
binary_sensor.kuche_birne_2_uberhitzt | Überhitzt
button.kuche_birne_2_neu_starten | Neu starten
light.kuche_birne_2 | Unknown
number.kuche_birne_2_sanft_einschalten | Sanft einschalten
number.kuche_birne_2_fliessend_abschalten | Fließend abschalten
select.kuche_birne_2_lichtvoreinstellung | Lichtvoreinstellung
sensor.kuche_birne_2_signalpegel | Signalpegel
sensor.kuche_birne_2_signalstarke | Signalstärke
sensor.kuche_birne_2_ssid | SSID
sensor.kuche_birne_2_gerateuhrzeit | Geräteuhrzeit
